organisation,records lost,year   ,Ticker,Stock Price
"visualisation here: https://informationisbeautiful.net/visualizations/worlds-biggest-data-breaches-hacks/
pink = new","(use 3m, 4m, 5m or 10m to approximate unknown figures) ",year story broke,,
Plex,"15,000,000",2022,,
Twitter,"5,400,000",2021,TWTR,
Shanghai Police,"500,000,000",2022,,
"City of Amagasaki, Japan","500,000",2022,,
Dubai Real Estate Leak,"800,000",2022,,
Heroku,"50,000",2022,,
Mailchimp,"106,586",2022,,
PayHere,"1,580,249",2022,,
CDEK,"18,218,203",2022,,
Washington State Dpt of Licensing,"257,000",2022,,
Red Cross,"500,000",2022,,
Open Subtitles,"100,000",2022,,
FlexBooker,"3,700,000",2022,,
LINE Pay,"133,000",2021,,
Robinhood,"5,000,937",2021,HOOD,105.33999633789062
GoDaddy,"1,200,000",2021,GDDY,146.3300018310547
Travelio,"471,376",2021,,
Acer,"3,000,000",2021,,
Brewdog,"200,000",2021,,
Nvidia,"100,000",2021,NVDA,175.39999389648438
Okta,"100,000",2021,,
Experian SA,"24,000,000",2020,EXPN.L,3883.0
Royal Enfield,"420,873",2020,,
Avvo,"4,101,101",2019,,
Aimware,"305,470",2019,,
Twitch,"10,000,000",2021,,
Syniverse,"500,000,000",2021,,
Pandora Papers,"11,900,000",2021,,
Neiman Marcus,"4,600,000",2021,,
Epik,"15,000,000",2021,,
Thailand visitors,"100,000,000",2021,,
T-Mobile ,"76,000,000",2021,TMUS,259.010009765625
Contact tracing data,"38,000,000",2021,,
Estonian gov,"280,000",2021,,
Guntrader,"111,000",2021,,
Linkedin,"700,000,000",2021,MSFT,505.7200012207031
VW,"3,300,000",2021,VOW3.DE,100.8499984741211
MacDonalds,"10,000,000",2021,MCD,313.0799865722656
Air India,"4,500,000",2021,,
Omiai dating app,"1,710,000",2021,,
Amazon Reviews,"13,124,962",2021,,
Peloton,"3,000,000",2021,PTON,7.730000019073486
Digital Ocean,"10,000,000",2021,DOCN,30.209999084472656
Park Mobile,"21,000,000",2021,,
Ubiquiti,"16,000,000",2021,UI,394.5799865722656
Meet Mindful,"2,240,000",2021,,
Experian Brazil,"220,000,000",2021,,
Gab,"4,000,000",2021,,
Star Alliance,"16,000,000",2021,,
Facebook,"533,000,000",2021,META,747.719970703125
Ledger,"270,000",2020,,
T-mobile,"200,000",2020,,
The Hospital Group,"1,000,000",2020,,
SolarWinds,"50,000,000",2020,SWI,
Ho Mobile,"2,500,000",2020,,
Spotify,"500,000",2020,SPOT,703.7899780273438
Drizly,"2,400,000",2020,,
GEDmatch,"1,400,000",2020,,
Call of Duty / Activision,"500,000",2020,,
Zhenhua,"2,400,000",2020,,
Cense AI,"2,500,000",2020,,
Nintendo,"300,000",2020,NTDOY,23.290000915527344
Pakistani mobile operators,"115,000,000",2020,,
US Marshals Service,"387,000",2020,,
db8151dd,"22,000,000",2020,,
EasyJet,"9,000,000",2020,EZJ.L,505.1199951171875
Microsoft,"250,000,000",2020,MSFT,505.7200012207031
Dutch Government,"6,900,000",2020,,
Virgin Media,"900,000",2020,,
Boots Advantage Card,"150,000",2020,,
Tesco Clubcard,"600,000",2020,TSCO.L,428.3999938964844
Marriott Hotels,"5,200,000",2020,MAR,263.5299987792969
Zoom,"500,000",2020,ZM,72.16000366210938
Israeli government,"6,500,000",2020,,
MGM Hotels,"10,600,000",2020,MGM,36.310001373291016
Buchbinder Car Rentals,"5,000,000",2020,,
Wawa,"30,000,000",2019,,
Desjardins Group,"4,200,000",2019,,
US Customs and Border Protection,"100,000",2019,,
Quest Diagnostics,"20,000,000",2019,DGX,184.39999389648438
Australian National University,"200,000",2019,,
Canva,"139,000,000",2019,,
Chtrbox,"49,000,000",2019,,
WiFi Finder,"2,000,000",2019,,
Toyota,"3,100,000",2019,TM,199.19000244140625
Unknown,"1,800,000",2019,,
Vårdguiden,"2,700,000",2019,,
Dubsmash,"162,000,000",2019,,
ShareThis,"41,000,000",2019,,
HauteLook,"28,000,000",2019,,
Animoto,"25,000,000",2019,,
EyeEm,"22,000,000",2019,,
8fit,"20,000,000",2019,,
Whitepages,"18,000,000",2019,,
Fotolog,"16,000,000",2019,,
Armor Games,"11,000,000",2019,,
BookMate,"8,000,000",2019,,
CoffeeMeetsBagel,"6,000,000",2019,,
Artsy,"1,000,000",2019,,
DataCamp,"700,000",2019,,
Ixigo,"18,000,000",2019,,
YouNow,"40,000,000",2019,,
Houzz,"57,000,000",2019,,
Ge.tt,"1,800,000",2019,,
Coinmama,"450,000",2019,,
Roll20,"4,000,000",2019,,
Stronghold Kingdoms,"5,000,000",2019,,
Petflow,"1,000,000",2019,,
500px,"14,800,000",2019,,
Blur,"2,400,000",2019,,
Blank Media Games,"7,600,000",2019,,
Indian citizens,"275,265,298",2019,,
Bulgarian National Revenue Agency,"5,000,000",2019,,
Capital One,"100,000,000",2019,COF,214.7100067138672
Suprema,"27,800,000",2019,,
Facebook,"419,000,000",2019,META,747.719970703125
DoorDash,"4,900,000",2019,DASH,243.82000732421875
BriansClub,"26,000,000",2019,,
OxyData,"380,000,000",2019,,
Click2Gov,"300,000",2018,,
SingHealth,"1,500,000",2018,,
GovPayNow.com,"14,000,000",2018,,
Cathay Pacific Airways,"94,000,000",2018,0293.HK,10.680000305175781
Chinese resume leak,"202,000,000",2018,,
Google+,"52,500,000",2018,GOOGL,199.32000732421875
Quora,"100,000,000",2018,,
Marriott International,"383,000,000",2018,MAR,263.5299987792969
NMBS,"700,000",2018,,
Facebook,"50,000,000",2018,META,747.719970703125
Panerabread,"37,000,000",2018,,
Dixons Carphone,"10,000,000",2018,,
MyHeritage,"92,283,889",2018,,
Saks and Lord & Taylor,"5,000,000",2018,,
Careem,"14,000,000",2018,,
Texas voter records,"14,800,000",2018,,
British Airways,"380,000",2018,IAG.L,388.4440002441406
T-Mobile,"2,000,000",2018,TMUS,259.010009765625
MyFitnessPal,"150,000,000",2018,,
Helse Sør-Øst RHF,"3,000,000",2018,,
Nametests,"120,000,000",2018,,
Ticketmaster,"40,000",2018,,
Firebase,"100,000,000",2018,,
Aadhaar,"550,000,000",2018,,
Grindr,"3,000,000",2018,,
Orbitz,"880,000",2018,,
MBM Company,"1,300,000",2018,,
LocalBlox,"48,000,000",2018,,
Twitter,"330,000,000",2018,TWTR,
ViewFines,"934,000",2018,,
TicketFly,"27,000,000",2018,,
Amazon,"5,000,000",2018,AMZN,223.80999755859375
Urban Massage,"309,000",2018,,
Dell ,"100,000",2018,DELL,128.47999572753906
High Tail Hall,"411,000",2018,,
SKY Brasil,"32,000,000",2018,,
Vision Direct,"16,300",2018,,
Medicare & Medicaid,"93,689",2018,,
Facebook,"29,000,000",2018,META,747.719970703125
Newegg,"45,000,000",2018,,
Mount Olympus,"1,100",2016,,
Apollo,"200,000,000",2018,,
Disqus,"17,500,000",2017,,
RootsWeb,"300,000",2017,,
Yahoo,"32,000,000",2017,AABA,
Uber,"57,000,000",2017,UBER,93.7300033569336
Wonga,"270,000",2017,,
Snapchat,"1,700,000",2017,,
